NAME,SEEDS,LEECHES,TIME,SIZE,UPLOADER
Evil S01E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],7,0,5am Feb. 1st,347.5 MB7,UTRCorp
Avenue 5 S01E03 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,20,0,5am Feb. 1st,286.6 MB20,UTRCorp
Doctor Sleep (2019) Theatrical Cut (2160p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]4,9,6,Jan. 31st '20,6.8 GB9,UTRCorp
Ford v. Ferrari (2019) + Featurettes (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],12,9,Jan. 31st '20,3.8 GB12,UTRCorp
Peaky Blinders (2013) Season 05 S05 (1080p NF WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,3,7,Jan. 31st '20,3.4 GB3,UTRCorp
American Gods (2017) Season 02 S02 (1080p AMZN WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR],6,4,Jan. 31st '20,4.2 GB6,UTRCorp
Star Trek Picard S01E02 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,54,0,Jan. 31st '20,436.7 MB54,UTRCorp
FBI S01E14 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]2,4,1,Jan. 31st '20,391.8 MB4,UTRCorp
68 Whiskey S01E03 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 2.0 Joy) [UTR],4,1,Jan. 31st '20,395.2 MB4,UTRCorp
13 Reasons Why (2017) Season 03 S03 (2160p WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR],5,4,Jan. 30th '20,22.4 GB5,UTRCorp
Ford v. Ferrari (2019) (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,24,4,Jan. 30th '20,1.9 GB24,UTRCorp
NOVA S46E22 (1080p WEB x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]2,3,2,Jan. 29th '20,1.7 GB3,UTRCorp
Doctor Sleep (2019) Theatrical Cut (1080p BluRay x265 HEVC 10bit AAC 7.1 Q22 Joy) [UTR]7,16,1,Jan. 29th '20,1.8 GB16,UTRCorp
The Sword in the Stone (1963) REPACK (1080p WEBRip x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]1,13,0,Jan. 29th '20,2.0 GB13,UTRCorp
Saturday Night Live S45E11 (1080p WEB-DL x265 HEVC 10bit AAC 2.0 Joy) [UTR],10,1,Jan. 28th '20,638.9 MB10,UTRCorp
Saturday Night Live S45E09 (1080p WEB-DL x265 HEVC 10bit AAC 2.0 Joy) [UTR]1,4,1,Jan. 28th '20,614.3 MB4,UTRCorp
The Ranch (2016) Season 02 S02 (2160p NF WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR]2,3,5,Jan. 28th '20,18.9 GB3,UTRCorp
